topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_average_hops,sparse_max_link_utilization,sparse_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,12800.0,200.0,0.01072,0.01072,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.00032,0.00016,0.00024,199.99999999999997,3.53125,0.43749999999999994,0.8742224485960773
2D-Torus,6.0,4.015748031496063,6400.0,100.0,0.020480000000001296,0.010720000000000021,0.01072000000000014,198.43749999998747,4.015748031496063,1.0000000000000002,1.5310181168536578e-14,0.00032,0.00016,0.00024,199.99999999999997,4.078125,0.6458333333333331,0.5372477283699608
3D-Torus,7.0,4.509803921568627,12800.0,100.0,0.04096000000000239,0.02096,0.02096,199.21874999998838,4.509803921568627,1.0,0.447213595499958,0.00032,0.00016,0.00016,199.99999999999997,4.6171875,0.5249999999999999,0.6104086644658712
Clos,4.0,3.902097902097902,28800.0,400.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.9166666666666665,0.3333333333333333,0.5342698142367177
DF,5.0,4.332530120481928,33600.0,161.53846153846155,0.064,0.0332,0.0332,207.5,4.371084337349398,1.0,0.2195121951219512,0.00032,0.00016,0.00016,199.99999999999997,4.4326923076923075,0.8749999999999999,0.7562846304263118
