topology,routing_mode,diameter,average_hops,bisection_bandwidth_gbps,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_max_link_utilization,sparse_link_utilization_cv
2D-FullMesh,SHORTEST_PATH,4.0,3.5118110236220472,400.0,0.02144,0.01072,0.01072,189.55223880597015,0.9552238805970149,0.0,0.00032,0.00016,0.00024,199.99999999999997,0.5624999999999999,0.486810630280676
2D-Torus,SHORTEST_PATH,6.0,4.015748031496063,400.0,0.04095999999999803,0.010720000000000006,0.01072000000000014,99.21875000000476,1.0,2.515522650086081e-14,0.00032,0.00016,0.00024,199.99999999999997,0.8333333333333335,0.29088881494725005
3D-Torus,DOR,8.0,5.00587084148728,400.0,0.16384,0.04144,0.04144,99.80468749999999,0.9999999999999999,0.0,0.00044,0.00016,0.00024,145.45454545454544,1.0,0.5422975700815236
Clos,ECMP,4.0,3.902097902097902,400.0,0.04352,0.01144,0.01144,105.1470588235294,1.0,0.0,0.00032,0.00016,0.00016,199.99999999999997,0.8124999999999999,0.40786223998464605
