topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_average_hops,sparse_max_link_utilization,sparse_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,25600.0,200.0,0.01072,0.01072,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.00032,0.00016,0.00024,199.99999999999997,3.53125,0.43749999999999994,0.8742224485960773
2D-Torus,5.0,3.5238095238095237,3200.0,50.0,0.010240000000000034,0.0056,0.0056,196.87499999999935,3.5238095238095237,1.0,0.5773502691896257,0.00024,0.00016,0.00018,266.66666666666663,3.375,0.6111111111111112,0.8359463166141651
3D-Torus,7.0,4.509803921568627,12800.0,50.0,0.04096000000000239,0.02096,0.02096,199.21874999998838,4.509803921568627,1.0,0.447213595499958,0.00032,0.00016,0.00016,199.99999999999997,4.6171875,0.5249999999999999,0.6104086644658712
Clos,4.0,3.902097902097902,28800.0,200.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.9166666666666665,0.3333333333333333,0.5342698142367177
DF,5.0,3.893719806763285,41600.0,100.0,0.032,0.01656,0.01656,207.0,3.893719806763285,1.0,0.5106120817631349,0.00048,0.00024,0.00032,133.33333333333331,3.8365384615384617,0.5833333333333334,1.2327814108157547
