topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
3D-Torus-2x4x2-BestTwist,A2A,SHORTEST_PATH,3,24.576,37.79527559055118
3D-Torus-2x4x2-BestTwist,A2A,SHORTEST_PATH,4,36.864000000007294,56.69291338583798
3D-Torus-2x4x2-BestTwist,Sparse 1-to-N,SHORTEST_PATH,2,0.02,7.8125
3D-Torus-2x4x2-BestTwist,Sparse 1-to-N,SHORTEST_PATH,3,0.128,50.0
3D-Torus-2x4x2-BestTwist,Sparse 1-to-N,SHORTEST_PATH,4,0.108,42.1875
3D-Torus-2x4x1,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
3D-Torus-2x4x1,A2A,SHORTEST_PATH,3,6.144,38.095238095238095
3D-Torus-2x4x1,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
3D-Torus-2x4x1,A2A,SHORTEST_PATH,5,2.048,12.698412698412698
3D-Torus-2x4x1,Sparse 1-to-N,SHORTEST_PATH,2,0.004,3.125
3D-Torus-2x4x1,Sparse 1-to-N,SHORTEST_PATH,3,0.048,37.5
3D-Torus-2x4x1,Sparse 1-to-N,SHORTEST_PATH,4,0.056,43.75
3D-Torus-2x4x1,Sparse 1-to-N,SHORTEST_PATH,5,0.02,15.625
3D-Torus-2x4x1-BestTwist,A2A,SHORTEST_PATH,2,1.792,11.11111111111111
3D-Torus-2x4x1-BestTwist,A2A,SHORTEST_PATH,3,8.192,50.79365079365079
3D-Torus-2x4x1-BestTwist,A2A,SHORTEST_PATH,4,6.144,38.095238095238095
3D-Torus-2x4x1-BestTwist,Sparse 1-to-N,SHORTEST_PATH,2,0.004,3.125
3D-Torus-2x4x1-BestTwist,Sparse 1-to-N,SHORTEST_PATH,3,0.068,53.125
3D-Torus-2x4x1-BestTwist,Sparse 1-to-N,SHORTEST_PATH,4,0.056,43.75
Clos,A2A,ECMP,2,4.032,4.895104895104895
Clos,A2A,ECMP,4,78.336,95.1048951048951
Clos,Sparse 1-to-N,ECMP,2,0.012,4.166666666666666
Clos,Sparse 1-to-N,ECMP,4,0.276,95.83333333333334
Clos-4P-FullMesh,A2A,ECMP,2,28.672,0.6842619745845552
Clos-4P-FullMesh,A2A,ECMP,3,98.304,2.346041055718475
Clos-4P-FullMesh,A2A,ECMP,4,4063.232,96.96969696969697
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,2,0.008,0.390625
Clos-4P-FullMesh,Sparse 1-to-N,ECMP,3,0.032,1.5625
