topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_average_hops,sparse_max_link_utilization,sparse_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,12800.0,200.0,0.01072,0.01072,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.00032,0.00016,0.00024,199.99999999999997,3.53125,0.43749999999999994,0.8742224485960773
2D-Torus,5.0,3.5238095238095237,3200.0,100.0,0.010240000000000023,0.00528,0.0056,196.87499999999955,3.5238095238095237,1.0,0.3333333333333333,0.00024,0.00016,0.00018,266.66666666666663,3.71875,0.9166666666666665,0.7211611899510703
2D-Torus-BestTwist,4.0,3.2698412698412698,6400.0,200.0,0.0064,0.00528,0.0056,315.0,3.2698412698412698,1.0,0.0,0.00024,0.00016,0.00018,266.66666666666663,3.40625,0.5833333333333334,0.5858411700650696
3D-Torus,7.0,4.509803921568627,12800.0,100.0,0.04096000000000239,0.02096,0.02096,199.21874999998838,4.509803921568627,1.0,0.282842712474619,0.00031999999999999997,0.00016,0.00016,200.00000000000003,4.53125,0.5458333333333335,0.46821330136473227
3D-Torus-BestTwist,5.0,4.070588235294117,25600.0,200.0,0.028160000000001358,0.0209600000000002,0.020960000000000447,289.7727272727133,4.070588235294117,1.0,8.900642677043289e-15,0.00032,0.00016,0.00016,199.99999999999997,4.109375,0.4375,0.49828237211384113
Clos,4.0,3.902097902097902,28800.0,400.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.9166666666666665,0.3333333333333333,0.5342698142367177
DF,5.0,4.332530120481928,33600.0,161.53846153846155,0.064,0.0332,0.0332,207.5,4.371084337349398,1.0,0.2195121951219512,0.00032,0.00016,0.00016,199.99999999999997,4.4326923076923075,0.8749999999999999,0.7562846304263118
SparseMesh-Local,4.0,3.2873563218390807,9600.0,218.1818181818182,0.007680000000000052,0.00728,0.00752,362.49999999999756,3.2873563218390807,1.0,0.2332847374079246,0.00032,0.00016,0.00024,199.99999999999997,3.0,0.45833333333333326,1.1315047637120361
SparseMesh-Global,4.0,3.3980582524271843,12800.0,246.15384615384616,0.008874666666666699,0.00864,0.0088,371.3942307692294,3.3980582524271843,0.9999999999999999,0.12272623352430327,0.00024,0.00016,0.00024,266.66666666666663,3.269230769230769,0.5472222222222222,0.8084924772102337
