topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,replica_random_completion_time_s,replica_random_completion_time_p50_s,replica_random_completion_time_p95_s,replica_random_per_ssu_throughput_gbps,replica_random_average_hops,replica_random_max_link_utilization,replica_random_link_utilization_cv,replica_topology_aware_completion_time_s,replica_topology_aware_completion_time_p50_s,replica_topology_aware_completion_time_p95_s,replica_topology_aware_per_ssu_throughput_gbps,replica_topology_aware_average_hops,replica_topology_aware_max_link_utilization,replica_topology_aware_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,12800.0,200.0,0.01072,0.01056,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2D-Torus,5.0,3.5238095238095237,3200.0,100.0,0.010240000000000023,0.00544,0.0056,196.87499999999955,3.5238095238095237,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3D-Torus,7.0,4.509803921568627,12800.0,100.0,0.04096000000000239,0.0208,0.02096,199.21874999998838,4.509803921568627,1.0,0.282842712474619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clos-4P-FullMesh,4.0,3.962854349951124,102400.0,200.0,0.15872,0.08184,0.08184,206.25,3.962854349951124,1.0,0.8418733008900517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DF,5.0,4.332530120481928,33600.0,161.53846153846155,0.06656000000000022,0.03319999999999996,0.033200000000000174,199.51923076923012,4.332530120481928,0.9999999999999999,0.20325657451018483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
