topology,workload,routing_mode,hop_count,offered_volume_gb,offered_volume_pct
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,4,0.014933333333333331,5.833333333333333
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,5,0.04613333333333332,18.02083333333333
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,6,0.08320000000000001,32.50000000000001
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,7,0.07386666666666679,28.854166666666714
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,8,0.029866666666666656,11.666666666666663
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,9,0.004,1.5625
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,3,0.032,12.5
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,4,0.096,37.5
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,5,0.096,37.5
2D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,6,0.032,12.5
3D-Torus,A2A,SHORTEST_PATH,2,7.168,2.7450980392156863
3D-Torus,A2A,SHORTEST_PATH,3,40.96,15.686274509803921
3D-Torus,A2A,SHORTEST_PATH,4,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,5,81.92,31.372549019607842
3D-Torus,A2A,SHORTEST_PATH,6,40.96000000000001,15.686274509803924
3D-Torus,A2A,SHORTEST_PATH,7,8.191999999999998,3.1372549019607843
3D-Torus,64 NPUs | Local 1:1 | Direct,SHORTEST_PATH,3,0.256,100.0
3D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,3,0.032,12.5
3D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,5,0.096,37.5
3D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,7,0.096,37.5
3D-Torus,64 NPUs | Local 1:1 | Rack Pooling,SHORTEST_PATH,9,0.032,12.5
3D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,3,0.064,25.0
3D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,4,0.064,25.0
3D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,5,0.064,25.0
3D-Torus,64 NPUs | Local 1:1 | Rack Sharding,SHORTEST_PATH,6,0.064,25.0
3D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,4,0.02,7.8125
3D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,5,0.072,28.125
3D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,6,0.096,37.5
3D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,7,0.056,21.875
3D-Torus,64 NPUs | Single-SSU Hotspot | Direct,SHORTEST_PATH,8,0.012,4.6875
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,4,0.0025,0.9765625
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,5,0.012214285714285709,4.771205357142855
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,6,0.04364285714285719,17.04799107142859
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,7,0.07278571428571404,28.431919642857046
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,8,0.07035714285714281,27.48325892857141
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,9,0.0415,16.2109375
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,10,0.0115,4.4921875
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Pooling,SHORTEST_PATH,11,0.0015,0.5859375
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,4,0.02,7.8125
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,5,0.072,28.125
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,6,0.096,37.5
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,7,0.056,21.875
3D-Torus,64 NPUs | Single-SSU Hotspot | Rack Sharding,SHORTEST_PATH,8,0.012,4.6875
3D-Torus,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,4,0.02,7.8125
3D-Torus,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,5,0.072,28.125
3D-Torus,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,6,0.096,37.5
3D-Torus,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,7,0.056,21.875
3D-Torus,64 NPUs | Rack Target-Set 4 | Direct,SHORTEST_PATH,8,0.012,4.6875
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,4,0.0025,0.9765625
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,5,0.010690476190476184,4.175967261904759
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,6,0.04116666666666675,16.0807291666667
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,7,0.07335714285714272,28.655133928571374
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,8,0.07226190476190464,28.227306547619
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,9,0.042452380952380936,16.582961309523803
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,10,0.01207142857142857,4.715401785714285
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Pooling,SHORTEST_PATH,11,0.0015,0.5859375
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,4,0.02,7.8125
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,5,0.072,28.125
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,6,0.096,37.5
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,7,0.056,21.875
3D-Torus,64 NPUs | Rack Target-Set 4 | Rack Sharding,SHORTEST_PATH,8,0.012,4.6875
Clos-4P-FullMesh,A2A,ECMP,2,28.672,0.6842619745845552
Clos-4P-FullMesh,A2A,ECMP,3,98.304,2.346041055718475
Clos-4P-FullMesh,A2A,ECMP,4,4063.232,96.96969696969697
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Direct,ECMP,3,0.256,100.0
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,ECMP,3,0.032,12.5
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,ECMP,5,0.096,37.5
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Pooling,ECMP,7,0.128,50.0
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,ECMP,3,0.064,25.0
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,ECMP,4,0.064,25.0
Clos-4P-FullMesh,64 NPUs | Local 1:1 | Rack Sharding,ECMP,5,0.128,50.0
Clos-4P-FullMesh,64 NPUs | Single-SSU Hotspot | Direct,ECMP,5,0.256,100.0
Clos-4P-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,ECMP,5,0.032,12.5
Clos-4P-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,ECMP,6,0.096,37.5
Clos-4P-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Pooling,ECMP,7,0.128,50.0
Clos-4P-FullMesh,64 NPUs | Single-SSU Hotspot | Rack Sharding,ECMP,5,0.256,100.0
Clos-4P-FullMesh,64 NPUs | Rack Target-Set 4 | Direct,ECMP,5,0.256,100.0
Clos-4P-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,ECMP,5,0.032,12.5
Clos-4P-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,ECMP,6,0.096,37.5
Clos-4P-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Pooling,ECMP,7,0.128,50.0
Clos-4P-FullMesh,64 NPUs | Rack Target-Set 4 | Rack Sharding,ECMP,5,0.256,100.0
