topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_average_hops,sparse_max_link_utilization,sparse_link_utilization_cv
Clos,4.0,3.902097902097902,28800.0,400.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.9166666666666665,0.3333333333333333,0.5342698142367177
Clos-64,4.0,3.7777777777777777,12800.0,400.0,0.00504,0.00504,0.00504,400.0,3.7777777777777777,0.8888888888888888,0.0,0.00016,0.00016,0.00016,399.99999999999994,3.9375,0.49999999999999994,0.4817156297763896
Clos-128,4.0,3.8897637795275593,25600.0,400.0,0.01016,0.01016,0.01016,400.0,3.8897637795275593,0.9448818897637794,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.84375,0.375,0.641162044724669
Clos-192,4.0,3.926701570680628,38400.0,400.0,0.01528,0.01528,0.01528,400.0,3.926701570680628,0.9633507853403142,0.0,0.00024,0.00016,0.00016,266.66666666666663,4.0,0.3333333333333333,0.47871355387816905
Clos-256,4.0,3.9450980392156865,51200.0,400.0,0.0204,0.0204,0.0204,400.0,3.9450980392156865,0.972549019607843,0.0,0.00032,0.00016,0.00016,199.99999999999997,3.984375,0.24999999999999997,0.48787137243022577
Clos-4P-FullMesh,4.0,3.962854349951124,204800.0,400.0,0.08184,0.08184,0.08184,400.0,3.962854349951124,0.9696969696969697,0.8182917201112807,0.00048,0.00016,0.00016,133.33333333333331,3.9765625,0.20833333333333334,1.1061812973776968
