topology,diameter,average_hops,bisection_bandwidth_gbps,bisection_bandwidth_gbps_per_ssu,a2a_completion_time_s,a2a_completion_time_p50_s,a2a_completion_time_p95_s,a2a_per_ssu_throughput_gbps,a2a_average_hops,a2a_max_link_utilization,a2a_link_utilization_cv,sparse_completion_time_s,sparse_completion_time_p50_s,sparse_completion_time_p95_s,sparse_per_ssu_throughput_gbps,sparse_average_hops,sparse_max_link_utilization,sparse_link_utilization_cv
2D-FullMesh,4.0,3.5118110236220472,12800.0,100.0,0.01072,0.01072,0.01072,379.1044776119403,3.5118110236220472,0.9552238805970149,0.0,0.00032,0.00016,0.00024,199.99999999999997,3.53125,0.43749999999999994,0.8742224485960773
2D-Torus,6.0,4.015748031496063,6400.0,50.0,0.020479999999999953,0.01072,0.01072,198.43750000000045,4.015748031496063,1.0000000000000002,2.5719157915343666e-15,0.00032,0.00016,0.00024,199.99999999999997,4.078125,0.6458333333333333,0.5372477283699609
3D-Torus,8.0,5.00587084148728,25600.0,50.0,0.081919999999999,0.04144,0.04144,199.60937500000244,5.00587084148728,1.0,3.26042225609626e-14,0.00032,0.00016,0.00024,199.99999999999997,4.91796875,0.5520833333333333,0.38916872992468077
Clos,4.0,3.902097902097902,28800.0,200.0,0.01144,0.01144,0.01144,400.0,3.902097902097902,0.951048951048951,0.0,0.00024,0.00016,0.00016,266.66666666666663,3.9166666666666665,0.3333333333333333,0.5342698142367177
DF,5.0,3.893719806763285,20800.0,100.0,0.032,0.01656,0.01656,207.0,3.893719806763285,1.0,0.5106120817631349,0.0004,0.00024,0.00032,160.0,3.730769230769231,0.6,1.1130538571375999
